player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.8105, 'mob': 0.5257, 'stable': 0.1163, 'parity': 0.7762, 'pos': 0.5171}, 'medio': {'corner': 0.2847, 'mob': 0.6614, 'stable': 0.5069, 'parity': 0.5425, 'pos': 0.947}, 'final': {'corner': 0.3202, 'mob': 0.3492, 'stable': 0.5697, 'parity': 0.6749, 'pos': 0.1182}}",minimax,minimax,51,64,61
"{'apertura': {'corner': 0.1084, 'mob': 0.3163, 'stable': 0.7244, 'parity': 0.9389, 'pos': 0.041}, 'medio': {'corner': 0.2981, 'mob': 0.6523, 'stable': 0.1597, 'parity': 0.7472, 'pos': 0.3137}, 'final': {'corner': 0.6541, 'mob': 0.3262, 'stable': 0.4779, 'parity': 0.8648, 'pos': 0.7187}}",minimax,minimax,45,64,60
"{'apertura': {'corner': 0.55, 'mob': 0.9891, 'stable': 0.5574, 'parity': 0.0797, 'pos': 0.6529}, 'medio': {'corner': 0.068, 'mob': 0.6898, 'stable': 0.9454, 'parity': 0.9164, 'pos': 0.1081}, 'final': {'corner': 0.4801, 'mob': 0.0406, 'stable': 0.2272, 'parity': 0.3541, 'pos': 0.5966}}",minimax,minimax,56,60,58
"{'apertura': {'corner': 0.8369, 'mob': 0.2141, 'stable': 0.4918, 'parity': 0.0522, 'pos': 0.5375}, 'medio': {'corner': 0.7466, 'mob': 0.4789, 'stable': 0.0489, 'parity': 0.0527, 'pos': 0.9295}, 'final': {'corner': 0.7616, 'mob': 0.023, 'stable': 0.1983, 'parity': 0.7184, 'pos': 0.4073}}",minimax,minimax,38,64,60
"{'apertura': {'corner': 0.6838, 'mob': 0.9386, 'stable': 0.6551, 'parity': 0.452, 'pos': 0.8634}, 'medio': {'corner': 0.3204, 'mob': 0.4126, 'stable': 0.6409, 'parity': 0.4267, 'pos': 0.0046}, 'final': {'corner': 0.5489, 'mob': 0.1931, 'stable': 0.578, 'parity': 0.0888, 'pos': 0.4755}}",minimax,minimax,46,64,60
"{'apertura': {'corner': 0.4256, 'mob': 0.4535, 'stable': 0.6791, 'parity': 0.5706, 'pos': 0.7046}, 'medio': {'corner': 0.8717, 'mob': 0.1884, 'stable': 0.63, 'parity': 0.7555, 'pos': 0.1841}, 'final': {'corner': 0.4449, 'mob': 0.7709, 'stable': 0.6162, 'parity': 0.8219, 'pos': 0.519}}",minimax,minimax,39,60,69
"{'apertura': {'corner': 0.8402, 'mob': 0.4967, 'stable': 0.3725, 'parity': 0.1003, 'pos': 0.0192}, 'medio': {'corner': 0.9306, 'mob': 0.0155, 'stable': 0.6674, 'parity': 0.0612, 'pos': 0.8442}, 'final': {'corner': 0.5368, 'mob': 0.9091, 'stable': 0.8721, 'parity': 0.0829, 'pos': 0.7052}}",minimax,minimax,39,64,63
"{'apertura': {'corner': 0.3248, 'mob': 0.9051, 'stable': 0.6112, 'parity': 0.3061, 'pos': 0.531}, 'medio': {'corner': 0.4489, 'mob': 0.2673, 'stable': 0.3771, 'parity': 0.5614, 'pos': 0.3155}, 'final': {'corner': 0.4515, 'mob': 0.8617, 'stable': 0.3946, 'parity': 0.91, 'pos': 0.3436}}",minimax,minimax,53,64,63
"{'apertura': {'corner': 0.2389, 'mob': 0.7119, 'stable': 0.2218, 'parity': 0.4339, 'pos': 0.422}, 'medio': {'corner': 0.7299, 'mob': 0.6964, 'stable': 0.4239, 'parity': 0.4864, 'pos': 0.3715}, 'final': {'corner': 0.4815, 'mob': 0.0134, 'stable': 0.6021, 'parity': 0.118, 'pos': 0.4884}}",minimax,"{'apertura': {'corner': 0.2389, 'mob': 0.7119, 'stable': 0.2218, 'parity': 0.4339, 'pos': 0.422}, 'medio': {'corner': 0.7299, 'mob': 0.6964, 'stable': 0.4239, 'parity': 0.4864, 'pos': 0.3715}, 'final': {'corner': 0.4815, 'mob': 0.0134, 'stable': 0.6021, 'parity': 0.118, 'pos': 0.4884}}",35,63,61
"{'apertura': {'corner': 0.5094, 'mob': 0.5756, 'stable': 0.1264, 'parity': 0.045, 'pos': 0.8026}, 'medio': {'corner': 0.347, 'mob': 0.3746, 'stable': 0.1282, 'parity': 0.1994, 'pos': 0.6607}, 'final': {'corner': 0.7481, 'mob': 0.7337, 'stable': 0.7424, 'parity': 0.1794, 'pos': 0.6834}}",minimax,minimax,50,62,63
"{'apertura': {'corner': 0.655, 'mob': 0.0631, 'stable': 0.4635, 'parity': 0.2507, 'pos': 0.937}, 'medio': {'corner': 0.7454, 'mob': 0.3417, 'stable': 0.7764, 'parity': 0.351, 'pos': 0.9835}, 'final': {'corner': 0.3247, 'mob': 0.2543, 'stable': 0.0169, 'parity': 0.1175, 'pos': 0.5722}}",minimax,minimax,41,64,60
"{'apertura': {'corner': 0.2953, 'mob': 0.8869, 'stable': 0.7674, 'parity': 0.29, 'pos': 0.7727}, 'medio': {'corner': 0.4187, 'mob': 0.5084, 'stable': 0.7761, 'parity': 0.9357, 'pos': 0.1834}, 'final': {'corner': 0.5654, 'mob': 0.3533, 'stable': 0.469, 'parity': 0.5745, 'pos': 0.5671}}",minimax,minimax,43,64,60
"{'apertura': {'corner': 0.1903, 'mob': 0.2609, 'stable': 0.2503, 'parity': 0.1235, 'pos': 0.2426}, 'medio': {'corner': 0.7086, 'mob': 0.2335, 'stable': 0.1148, 'parity': 0.7523, 'pos': 0.2115}, 'final': {'corner': 0.7755, 'mob': 0.6941, 'stable': 0.5576, 'parity': 0.0319, 'pos': 0.1839}}",minimax,minimax,38,64,60
"{'apertura': {'corner': 0.4374, 'mob': 0.9471, 'stable': 0.5843, 'parity': 0.1929, 'pos': 0.5919}, 'medio': {'corner': 0.2585, 'mob': 0.4785, 'stable': 0.6613, 'parity': 0.7389, 'pos': 0.2118}, 'final': {'corner': 0.4658, 'mob': 0.4511, 'stable': 0.3109, 'parity': 0.6321, 'pos': 0.4701}}",minimax,minimax,36,64,63
"{'apertura': {'corner': 0.7476, 'mob': 0.2799, 'stable': 0.418, 'parity': 0.1755, 'pos': 0.4781}, 'medio': {'corner': 0.838, 'mob': 0.1786, 'stable': 0.7219, 'parity': 0.2061, 'pos': 0.9139}, 'final': {'corner': 0.4308, 'mob': 0.5817, 'stable': 0.4445, 'parity': 0.1002, 'pos': 0.6387}}",minimax,minimax,47,64,60
"{'apertura': {'corner': 0.4901861056257055, 'mob': 0.3788, 'stable': 0.3114, 'parity': 0.1119, 'pos': 0.1309}, 'medio': {'corner': 0.8196, 'mob': 0.1245, 'stable': 0.3911, 'parity': 0.4068, 'pos': 0.5278}, 'final': {'corner': 0.6562, 'mob': 0.8016, 'stable': 0.7148, 'parity': 0.0574, 'pos': 0.4446}}",minimax,minimax,43,64,61
"{'apertura': {'corner': 0.4181, 'mob': 0.9026, 'stable': 0.3512, 'parity': 0.2089, 'pos': 0.6121}, 'medio': {'corner': 0.4126, 'mob': 0.6927, 'stable': 0.7887, 'parity': 0.6265, 'pos': 0.2926}, 'final': {'corner': 0.4036, 'mob': 0.0277, 'stable': 0.3388, 'parity': 0.2888, 'pos': 0.4111}}",minimax,minimax,40,64,60
"{'apertura': {'corner': 0.8238, 'mob': 0.1682, 'stable': 0.4363, 'parity': 0.3465, 'pos': 0.5271}, 'medio': {'corner': 0.8602, 'mob': 0.2643, 'stable': 0.3511, 'parity': 0.3044, 'pos': 0.5195}, 'final': {'corner': 0.5004, 'mob': 0.4493, 'stable': 0.3599, 'parity': 0.7837, 'pos': 0.4539}}",minimax,minimax,54,64,60
